"ES.ID","lnVR.es","lnCVR.sv","direction","SE","parental","Study.ID","Study.name","Source","Cross.ID","Genus","spL.name","spS.name","species.pair","homologous","trait.type","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Pheno.divergence","Reciprocal","Distribution","Source_distribution","taxa","souce_sex.determinaton","sex.determination","Hetero.sex","Genet.divergence","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","Novelty","sp1.name","sp2.name","Survival.sp1","Survival.hyb12","Survival.hyb21","Survival.sp2","surv.relat.hyb12","surv.relat.hyb21","insect"
"ES040",-0.510825623765989,0.0344827586206897,"+",0.234160491034691,"Mother","s004","Coyne_1983","table3","BGxSPD(wildtype)","Drosophila","Drosophila_simulans","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",9.538,0.755857129357129,0.138,11.09,1.25976188226188,0.23,10.35,0.985900603509299,0.18,3.12,0.438178046004133,0.08,"3","3","20","20","20","20","3","3",30,30,30,30,NA,NA,NA,NA,0.968032154054536,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.626977284049405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES041",0.106261239874753,0.00741452359838408,"+",0.104200050893744,"Mother","s005","Coyne_1985","table1&2","BGxOxnard","Drosophila","Drosophila_mauritiana","Drosophila_simulans","Drosophila_mauritiana_Drosophila_simulans","Yes","morphology",14.31,1.13137084989848,0.08,12.33,1.01488915650922,0.1,12.1,0.989949493661167,0.07,9.86,0.848528137423857,0.06,NA,NA,NA,NA,NA,NA,NA,NA,200,103,200,200,NA,NA,NA,NA,-0.17765482610666,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.626977284049405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES043",-0.471037262606859,0.0571895424836601,"+",0.298186778655206,"Mother","s006","Coyne_1986","table1","FC","Drosophila","Drosophila_simulans","Drosophila_sechellia","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",335.2,61.0245852095694,14,393.9,97.5807358037436,23,NA,NA,NA,49.3,12.3036579926459,2.9,NA,NA,"8","8",NA,NA,NA,NA,19,18,NA,18,NA,NA,NA,NA,2.19733991029603,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES044",0.585015411642458,0.0571895424836601,"+",0.298186778655206,"Mother","s006","Coyne_1986","table1","FC","Drosophila","Drosophila_simulans","Drosophila_sechellia","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",0.049,0.0305122926047847,0.007,0.264,0.0169705627484771,0.004,NA,NA,NA,0.779,0.0169705627484771,0.004,NA,NA,"8","8",NA,NA,NA,NA,19,18,NA,18,NA,NA,NA,NA,3.50359545176725,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES046",0.379489621704903,0.0625,"+",0.31106402469855,"Mother","s006","Coyne_1986","table1","f^2","Drosophila","Drosophila_simulans","Drosophila_sechellia","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",424.2,78.3390068867355,19,459,53.6003731330296,13,NA,NA,NA,49.3,12.3036579926459,2.9,NA,NA,"8","8",NA,NA,NA,NA,17,17,NA,18,NA,NA,NA,NA,2.55947619125665,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES049",1.09641662751469,0.056547619047619,"+",0.286786860477274,"Mother","s006","Coyne_1986","table1","RMdet","Drosophila","Drosophila_simulans","Drosophila_sechellia","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",541.9,199.071343995061,51.4,385.2,67.5,13.5,NA,NA,NA,49.3,12.3036579926459,2.9,NA,NA,"8","8",NA,NA,NA,NA,15,25,NA,18,NA,NA,NA,NA,2.93606664295323,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES052",0.472955005295025,0.056547619047619,"+",0.286786860477274,"Mother","s006","Coyne_1986","table1","RM","Drosophila","Drosophila_simulans","Drosophila_sechellia","Drosophila_sechellia_Drosophila_simulans","Yes","morphology",612.6,115.414903716981,29.8,381.7,73,14.6,NA,NA,NA,49.3,12.3036579926459,2.9,NA,NA,"8","8",NA,NA,NA,NA,15,25,NA,18,NA,NA,NA,NA,3.1246578976913,"Inviable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.0835923597226433,"NA_possibly_high","NA_possibly_high","NA_possibly_high","NA_possibly_high",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES054",0.343473432080198,0.0277777777777778,"+",0.210849893247268,"Mother","s008","Coyne.et.al_1991","table4","pn_j_irX85","Drosophila","Drosophila_sechellia","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_sechellia","Yes","morphology",5.311,0.523117577605647,0.086,3.104,0.371048514348191,0.061,3.323,0.450124427242068,0.074,1.746,0.21,0.035,NA,NA,NA,NA,NA,NA,NA,NA,37,37,37,36,NA,NA,NA,NA,0.960345626313119,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.236946287233761,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES055",0,0.0277777777777778,"+",0.210849893247268,"Mother","s008","Coyne.et.al_1991","table4","pn_j_irX85","Drosophila","Drosophila_sechellia","Drosophila_mauritiana","Drosophila_mauritiana_Drosophila_sechellia","Yes","morphology",0.469,0.0182482875908947,0.003,0.487,0.0182482875908947,0.003,0.474,0.0121655250605964,0.002,0.441,0.012,0.002,NA,NA,NA,NA,NA,NA,NA,NA,37,37,37,36,NA,NA,NA,NA,-0.65580390331733,"Viable","Allopatry","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-0.236946287233761,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES059",0.382861282418207,0.0378571428571429,"+",0.244572656380525,"Mother","s010","Deregnaucourt_2010","table2","Coturnix_coturnix_coturnix_Coturnix_japonica","Coturnix","Coturnix_coturnix_coturnix","Coturnix_japonica","Coturnix_coturnix_coturnix_Coturnix_japonica","Yes","sound",172,86.6833317310773,17,168,59.2368128784795,11,182,54.744862772684,9,59,79.3725393319377,15,NA,NA,"8","8","15","15",NA,NA,26,29,37,28,NA,NA,NA,NA,0.89499243668112,"Viable","Allopatry","original study","Aves","Ezaz Tariq et al. Relationships between vertebrate ZW and XY sex chromosome systems. Current Biology 16.17 (2006): R736-R743.","ZW","Female",-0.66517524148295,"0.347634","0.38592000000000004","0.32175000000000004",NA,0.104479891912139,-0.0773753557103908,"Deregnaucourt_2002_Quail","table2&3",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"ES060",-0.251314428280928,0.25,"+",0.573573720954548,"Mother","s11","Doherty & Gerhardt 1984","fig4","Hyla_chrysoscelis_Hyla_femoralis","Hyla","Hyla_chrysoscelis","Hyla_femoralis","Hyla_chrysoscelis_Hyla_femoralis","Yes","sound",29.3023255813954,3.25581395348831,NA,15.3488372093024,4.18604651162792,NA,20.0000000000001,9.30232558139537,NA,4.242,0.622576902880277,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,NA,NA,NA,NA,2.22168260550523,"Viable","Overlap","original study","Anura","Miura I. The late replication banding patterns of chromosomes are highly conserved in the genera Rana Hyla and Bufo (Amphibia: Anura). Chromosoma 103.8 (1995): 567-574.","XY","Male",2.16167125991711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"ES061",0,0.25,"+",0.573573720954548,"Mother","s11","Doherty & Gerhardt 1984","fig4","Hyla_chrysoscelis_Hyla_femoralis","Hyla","Hyla_femoralis","Hyla_chrysoscelis","Hyla_chrysoscelis_Hyla_femoralis","Yes","sound",48.5106382978724,7.23404255319147,NA,17.872340425532,7.23404255319147,NA,17.0212765957448,8.5106382978723,NA,15.3191489361703,1.2765957446808,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,6,NA,NA,NA,NA,1.02220963623803,"Viable","Overlap","original study","Anura","Miura I. The late replication banding patterns of chromosomes are highly conserved in the genera Rana Hyla and Bufo (Amphibia: Anura). Chromosoma 103.8 (1995): 567-574.","XY","Male",2.16167125991711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"ES062",-0.451985123743062,0.2,"+",0.523598775598299,"Mother","s11","Doherty & Gerhardt 1984","fig4","Hyla_chrysoscelis_Hyla_femoralis","Hyla","Hyla_chrysoscelis","Hyla_femoralis","Hyla_chrysoscelis_Hyla_femoralis","Yes","sound",7.60683760683761,1.19658119658119,NA,2.3931623931624,1.88034188034188,NA,1.96581196581197,1.1965811965812,NA,1.36752136752137,0.427350427350429,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,5,5,NA,NA,NA,NA,1.88860193192156,"Viable","Overlap","original study","Anura","Miura I. The late replication banding patterns of chromosomes are highly conserved in the genera Rana Hyla and Bufo (Amphibia: Anura). Chromosoma 103.8 (1995): 567-574.","XY","Male",2.16167125991711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"ES063",-0.889997437486604,0.225,"+",0.546881085104552,"Mother","s11","Doherty & Gerhardt 1984","fig4","Hyla_chrysoscelis_Hyla_femoralis","Hyla","Hyla_chrysoscelis","Hyla_femoralis","Hyla_chrysoscelis_Hyla_femoralis","Yes","sound",7.71428571428572,2.05714285714286,NA,10.2857142857143,4.88571428571429,NA,8.4,3.25714285714286,NA,4.8,1.71428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,5,NA,NA,NA,NA,-0.0208133348645874,"Viable","Overlap","original study","Anura","Miura I. The late replication banding patterns of chromosomes are highly conserved in the genera Rana Hyla and Bufo (Amphibia: Anura). Chromosoma 103.8 (1995): 567-574.","XY","Male",2.16167125991711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"ES064",1.34223437132586,0.25,"+",0.573573720954548,"Mother","s11","Doherty & Gerhardt 1984","fig4","Hyla_chrysoscelis_Hyla_femoralis","Hyla","Hyla_femoralis","Hyla_chrysoscelis","Hyla_chrysoscelis_Hyla_femoralis","Yes","sound",157.608695652174,60.3260869565217,NA,80.4347826086956,15.7608695652174,NA,78.2608695652174,23.9130434782609,NA,26.6304347826087,5.97826086956521,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,1.98397041702185,"Viable","Overlap","original study","Anura","Miura I. The late replication banding patterns of chromosomes are highly conserved in the genera Rana Hyla and Bufo (Amphibia: Anura). Chromosoma 103.8 (1995): 567-574.","XY","Male",2.16167125991711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"no"
"ES065",0.321900029762122,0.333333333333333,"+",0.641274915080932,"Mother","s12","Ewing_1969","table2","Drosophila_persimilis_Drosophila_pseudoobscura","Drosophila","Drosophila_persimilis","Drosophila_pseudoobscura","Drosophila_persimilis_Drosophila_pseudoobscura","Yes","sound",66.8,10.9,NA,48.7,7.9,NA,56.8,7.3,NA,42.6,4.8,NA,NA,NA,"25","25","25","25",NA,NA,4,4,4,4,386,273,268,281,-0.0586592451297934,"Viable","Overlap","original study","Diptera","Vicoso Beatriz and Doris Bachtrog. Numerous transitions of sex chromosomes in Diptera. PLoS biology 13.4 (2015): e1002078.","XY","Male",-1.44133396487552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES076",0.495538165220173,0.0389805097451274,"+",0.246826829897687,"Mother","s14","Gadenne et al_1997","table1","Agrotis_ipsilon_Agrotis_segetum","Agrotis","Agrotis_ipsilon","Agrotis_segetum","Agrotis_ipsilon_Agrotis_segetum","Yes","morphology",437,33.8,NA,329.8,20.5,NA,NA,NA,NA,281.1,25.2,NA,">100",">100","4","4","0","0",">100",">100",30,24,0,25,NA,NA,NA,NA,-0.0719251627784075,"Inviable","Overlap","original study","Lepidoptera","Traut W. K. Sahara and F. Marec. Sex chromosomes and sex determination in Lepidoptera. Sexual Development 1.6 (2007): 332-346.","ZW/Z0","Female",0.0423382539818698,"65","1","0","60",-4.13516655674236,NA,"Gadenne_PheromoneReceptor_JChemEcol.1997","table1","Gadenne et al_1997",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES077",0.0038704985460788,0.0389805097451274,"+",0.246826829897687,"Mother","s14","Gadenne et al_1997","table1","Agrotis_ipsilon_Agrotis_segetum","Agrotis","Agrotis_ipsilon","Agrotis_segetum","Agrotis_ipsilon_Agrotis_segetum","Yes","morphology",164,24,NA,194.7,23.8,NA,NA,NA,NA,234.6,21.2,NA,">100",">100","4","4","0","0",">100",">100",30,24,0,25,NA,NA,NA,NA,-0.199887821355782,"Inviable","Overlap","original study","Lepidoptera","Traut W. K. Sahara and F. Marec. Sex chromosomes and sex determination in Lepidoptera. Sexual Development 1.6 (2007): 332-346.","ZW/Z0","Female",0.0423382539818698,"65","1","0","60",-4.13516655674236,NA,"Gadenne_PheromoneReceptor_JChemEcol.1997","table1","Gadenne et al_1997",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES080",0.35225894280188,0.0532212885154062,"+",0.286786860477274,"Mother","s15","Gottsberger&Mayer_2007","table1","Chorthippus_biguttulus_Chorthippus_brunneus","Chorthippus","Chorthippus_brunneus","Chorthippus_biguttulus","Chorthippus_biguttulus_Chorthippus_brunneus","Yes","sound",12.26,4.82,NA,12.54,3.37,NA,8.34,3.45,NA,11.84,3.7,NA,NA,NA,"3","3","6","6",NA,NA,22,18,19,35,NA,NA,NA,NA,-0.696864657767178,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0/XY","Male",2.05741683731024,"0.35294117647058826","0.72368421052631582","0.5","0.59322033898305082",0.425089014858093,0.0553419893520076,"Perdeck_1958_Grasshopper","table7",NA,NA,"wild but caught in juvenile stage",0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
"ES081",1.66090453814684,0.042483660130719,"+",0.246826829897687,"Mother","s15","Gottsberger&Mayer_2007","table1","Chorthippus_biguttulus_Chorthippus_brunneus","Chorthippus","Chorthippus_biguttulus","Chorthippus_brunneus","Chorthippus_biguttulus_Chorthippus_brunneus","Yes","sound",2.07,0.32,NA,0.45,0.06,NA,0.56,0.15,NA,0.18,0.04,NA,NA,NA,"6","6","3","3",NA,NA,35,19,18,22,NA,NA,NA,NA,3.00556285333305,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0/XY","Male",2.05741683731024,"0.59322033898305082","0.5","0.72368421052631582","0.35294117647058826",0.0553419893520076,0.425089014858093,"Perdeck_1958_Grasshopper","table7",NA,NA,"wild but caught in juvenile stage",0,NA,NA,NA,NA,NA,NA,NA,NA,"insect"
