sp1.name	sp2.name	species.pair	Cross.ID	Distribution	Source_distribution	taxa	souce_sex.determinaton	sex.determination	Hetero.sex	Genet.divergence	Survival.sp1	Survival.hyb12	Survival.hyb21	Survival.sp2	surv.relat.hyb12	surv.relat.hyb21	surv.File	surv.Source	surv.Study.name	comments	parentals		
Drosophila_buzzatii	Drosophila_koepferae	Drosophila_buzzatii_Drosophila_koepferae	Drosophila_buzzatii_Drosophila_koepferae	Overlap	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	1.053	NA	NA	NA	NA	NA	NA							
Drosophila_flavomontana	Drosophila_lacicola	Drosophila_flavomontana_Drosophila_lacicola	Drosophila_flavomontana_Drosophila_lacicola	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	1.011	NA	NA	NA	NA	NA	NA				Parents: ?? (mass culture)_SD estimated by Wan et al 2014			
Drosophila_flavomontana	Drosophila_littoralis	Drosophila_flavomontana_Drosophila_littoralis	Drosophila_flavomontana_Drosophila_littoralis	Allopatry	original paper	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.64	NA	NA	NA	NA	NA	NA							
Drosophila_flavomontana	Drosophila_montana	Drosophila_flavomontana_Drosophila_montana	Drosophila_flavomontana_Drosophila_montana	Allopatry	original paper	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	1.273	NA	NA	NA	NA	NA	NA							
Drosophila_flavomontana	Drosophila_virilis	Drosophila_flavomontana_Drosophila_virilis	Drosophila_flavomontana_Drosophila_virilis	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	1.031	NA	NA	NA	0.99	NA	NA							
Drosophila_heteroneura	Drosophila_silvestris	Drosophila_heteroneura_Drosophila_silvestris	Drosophila_heteroneura_Drosophila_silvestris	Overlap	"""Drosophila heteroneura and Drosophila silvestris: Head Shapes, Behavior and Evolution"""	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.009	NA	NA	NA	NA	NA	NA	NA	NA	NA				
Drosophila_kanekoi	Drosophila_virilis	Drosophila_kanekoi_Drosophila_virilis	Drosophila_kanekoi_Drosophila_virilis	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.112	NA	NA	NA	0.99	NA	NA				Parents: ?? (mass culture)_SD estimated by Wan et al 2014			
Drosophila_littoralis	Drosophila_virilis	Drosophila_littoralis_Drosophila_virilis	Drosophila_littoralis_Drosophila_virilis	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.122	0.955	0	0.16	0.99	0	-1.80469626	Orr_Coyne_1989_Drosophila	fertility_table2&3					
Drosophila_lummei	Drosophila_virilis	Drosophila_lummei_Drosophila_virilis	Drosophila_lummei_Drosophila_virilis	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.057	0.975	0.98	0.95	0.99	-0.002547772	-0.033638359	Orr_Coyne_1989_Drosophila	fertility_table2&3		Parents: ?? (mass culture)_SD estimated by Wan et al 2014			
Drosophila_montana	Drosophila_virilis	Drosophila_montana_Drosophila_virilis	Drosophila_montana_Drosophila_virilis	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.09	NA	NA	NA	0.99	NA	NA							
Drosophila_persimilis	Drosophila_pseudoobscura	Drosophila_persimilis_Drosophila_pseudoobscura	Drosophila_persimilis_Drosophila_pseudoobscura	Overlap	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.006					NA	NA							
Drosophila_quadraria	Drosophila_biauraria	Drosophila_quadraria_Drosophila_biauraria	Drosophila_quadraria_Drosophila_biauraria	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.004	NA	NA	NA	NA	NA	NA							
Drosophila_quadraria	Drosophila_subauraria	Drosophila_quadraria_Drosophila_subauraria	Drosophila_quadraria_Drosophila_subauraria	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.033	NA	NA	NA	NA	NA	NA							
Drosophila_triauraria	Drosophila_biauraria	Drosophila_triauraria_Drosophila_biauraria	Drosophila_triauraria_Drosophila_biauraria	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.033	NA	NA	NA	NA	NA	NA							
Drosophila_triauraria	Drosophila_quadraria	Drosophila_triauraria_Drosophila_quadraria	Drosophila_triauraria_Drosophila_quadraria	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.001	NA	NA	NA	NA	NA	NA							
Coturnix_coturnix_coturnix	Coturnix_japonica	Coturnix_coturnix_coturnix_Coturnix_japonica	Coturnix_coturnix_coturnix_Coturnix_japonica	Allopatry	original study	Aves	"Ezaz Tariq et al. ""Relationships between vertebrate ZW and XY sex chromosome systems."" Current Biology 16.17 (2006): R736-R743."	ZW	Female	0.018	0.347634	0.38592	0.32175	NA	0.104479892	-0.077375356	Deregnaucourt_2002_Quail	table2&3					
Drosophila_sechellia	Drosophila_simulans	Drosophila_sechellia_Drosophila_simulans	f^2	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.041	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA	NA							
Drosophila_sechellia	Drosophila_simulans	Drosophila_sechellia_Drosophila_simulans	FC	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.041	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA	NA							
Gryllus_armatus	Gryllus_rubens	Gryllus_armatus_Gryllus_rubens	Gryllus_armatus_Gryllus_rubens	Allopatry	original paper	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0	Male	NA	NA	NA	NA	NA	NA	NA				N of indv_N of songs. N of parental pairs: 12			
Gryllus_campestris	Gryllus_rubens	Gryllus_campestris_Gryllus_rubens	Gryllus_campestris_Gryllus_rubens	Allopatry	original paper	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0	Male	4.599	NA	NA	NA	NA	NA	NA				N of indv_N of songs. N of parental pairs: 12			
Gryllus_rubens	Gryllus_texensis	Gryllus_rubens_Gryllus_texensis	Gryllus_rubens_Gryllus_texensis	Overlap	original study	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0	Male	0.009	76.5	69.1	52.4	43.8	0.138713288	-0.137934851	Cade_1989_Gryllus.mortality	table1		integer‚Ítexensis			
Drosophila_madeirensis	Drosophila_subobscura	Drosophila_madeirensis_Drosophila_subobscura	H27	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	3.496	NA	NA	NA	NA	NA	NA							
Haplochromis_burtoni	Haplochromis_nubilus	Haplochromis_burtoni_Haplochromis_nubilus	Haplochromis_burtoni_Haplochromis_nubilus	Allopatry	original study	Cichliformes			NA	NA	NA	NA	0	NA	NA	NA							
Hyla_chrysoscelis	Hyla_femoralis	Hyla_chrysoscelis_Hyla_femoralis	Hyla_chrysoscelis_Hyla_femoralis	Overlap	original study	Anura	"Miura I. ""The late replication banding patterns of chromosomes are highly conserved in the genera Rana Hyla and Bufo (Amphibia: Anura)."" Chromosoma 103.8 (1995): 567-574."	XY	Male	0.984					NA	NA							
Laupala_kohalensis	Laupala_paranigra	Laupala_kohalensis_Laupala_paranigra	KW L. paranigra	Allopatry	original study	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0	Male	NA	NA	NA	NA	NA	NA	NA							
Drosophila_madeirensis	Drosophila_subobscura	Drosophila_madeirensis_Drosophila_subobscura	mad	Overlap	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	3.496	NA	NA	NA	NA	NA	NA							
Drosophila_madeirensis	Drosophila_subobscura	Drosophila_madeirensis_Drosophila_subobscura	Mdh86	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	3.496	NA	NA	NA	NA	NA	NA							
Mus_musculus_domesticus	Mus_musculus_musculus	Mus_musculus_domesticus_Mus_musculus_musculus	musculus.1	Allopatry	original study	Rodentia	"Ezaz Tariq et al. ""Relationships between vertebrate ZW and XY sex chromosome systems."" Current Biology 16.17 (2006): R736-R743."	XY	Male	0.029	NA	NA	NA	NA	NA	NA				N of indv_genetic distance_first 20 sequences were used_respectively			
Mus_musculus_domesticus	Mus_musculus_musculus	Mus_musculus_domesticus_Mus_musculus_musculus	musculus.3	Allopatry	original study	Rodentia	"Ezaz Tariq et al. ""Relationships between vertebrate ZW and XY sex chromosome systems."" Current Biology 16.17 (2006): R736-R743."	XY	Male	0.029	NA	NA	NA	NA	NA	NA				N of indv_genetic distance_first 20 sequences were used_respectively			
Laupala_kohalensis	Laupala_paranigra	Laupala_kohalensis_Laupala_paranigra	OF L. paranigra	Allopatry	original study	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0	Male	NA	NA	NA	NA	NA	NA	NA							
Drosophila_sechellia	Drosophila_simulans	Drosophila_sechellia_Drosophila_simulans	Oxnard	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.041	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA	NA							
Chorthippus_parallelus_erythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus	parallelus_localityA	Overlap	original study	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA				
Chorthippus_parallelus_erythropus	Chorthippus_parallelus_parallelus	Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus	parallelus_localityB	Overlap	original study	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA				
Drosophila_mauritiana	Drosophila_sechellia	Drosophila_mauritiana_Drosophila_sechellia	pn_j_irX85	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.033	NA	NA	0	NA	NA	NA							
Pundamilia_nyererei	Pundamilia_pundamilia	Pundamilia_nyererei_Pundamilia_pundamilia	Pundamilia_nyererei_Pundamilia_pundamilia	Overlap	original study	Cichliformes			NA	NA	4.86	4.84	4.51	4.57	0.026165805	-0.044451763	Van Der Sluijs_2008_Cichlid	text					
Drosophila_sechellia	Drosophila_simulans	Drosophila_sechellia_Drosophila_simulans	RM	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.041	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA	NA							
Drosophila_sechellia	Drosophila_simulans	Drosophila_sechellia_Drosophila_simulans	RMdet	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.041	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA	NA							
Laupala_kohalensis	Laupala_paranigra	Laupala_kohalensis_Laupala_paranigra	SB L. paranigra	Allopatry	original study	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0/XY	Male	NA	NA	NA	NA	NA	NA	NA							
Drosophila_auraria	Drosophila_biauraria	Drosophila_auraria_Drosophila_biauraria	sn.cn.ba2.auraria_B16.biauraria	Overlap	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.033	NA	NA	NA	NA	NA	NA				parental data provided in other paper (Tomaru.Oguma_1993.AnimBehav)_N: n of song_Parents: n of indv (mass culture)			
Spodoptera_descoinsi	Spodoptera_latifascia	Spodoptera_descoinsi_Spodoptera_latifascia	Spodoptera_descoinsi_Spodoptera_latifascia	Overlap	original paper	Lepidoptera	"Traut W. K. Sahara and F. Marec. ""Sex chromosomes and sex determination in Lepidoptera."" Sexual Development 1.6 (2007): 332-346."	ZW/Z0	Female	0.034	NA	NA	NA	NA	NA	NA							
Teleogryllus_commodus	Teleogryllus_oceanicus	Teleogryllus_commodus_Teleogryllus_oceanicus	Teleogryllus_commodus_Teleogryllus_oceanicus	Overlap	The Australian crickets (Orthoptera: Gryllidae)	Orthoptera	"Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. ""Sex and neo-sex chromosomes in Orthoptera: a review."" Journal of Orthoptera Research (2010): 213-231."	X0	Male	1.313	NA	NA	NA	NA	NA	NA				N of indv_N of songs. N of parental pairs: 12			
Drosophila_melanogaster	Drosophila_simulans	Drosophila_melanogaster_Drosophila_simulans	v	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.051	1	0.5	0.2	1	-0.693147181	-1.609437912	reviewed in Sawamura_						
Drosophila_melanogaster	Drosophila_simulans	Drosophila_melanogaster_Drosophila_simulans	XsimYmel	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.051	1	0.5	0.2	1	-0.693147181	-1.609437912	reviewed in Sawamura_						
Drosophila_sechellia	Drosophila_simulans	Drosophila_sechellia_Drosophila_simulans	XXY	Allopatry	original study	Diptera	"Vicoso Beatriz and Doris Bachtrog. ""Numerous transitions of sex chromosomes in Diptera."" PLoS biology 13.4 (2015): e1002078."	XY	Male	0.041	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA_possibly_high	NA	NA							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
