"Study.ID","Study.name","Source","Cross.ID","Genus","spL.name","spS.name","species.pair","homologous","trait.type","trait","Mn.spL","SD.spL","SE.spL","Mn.hybLS","SD.hybLS","SE.hybLS","Mn.hybSL","SD.hybSL","SE.hybSL","Mn.spS","SD.spS","SE.spS","Parents.spLF.spL","Parents.spLM.spL","Parents.spLF.hybLS","Parents.spLM.hybSL","Parents.spSF.hybSL","Parents.spSM.hybLS","Parents.spSF.spS","Parents.spSM.spS","N.spL","N.hybLS","N.hybSL","N.spS","reps.spL","reps.hybLS","reps.hybSL","reps.spS","Pheno.divergence","Reciprocal","Distribution","Source_distribution","taxa","souce_sex.determinaton","sex.determination","Hetero.sex","Genet.divergence","Survival.spL","Survival.hybLS","Survival.hybSL","Survival.spS","surv.relat.hybLS","surv.relat.hybSL","surv.File","surv.Source","surv.Study.name","comments","parentals","ES.ID","lnCVR.es","lnCVR.sv","cross"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Trill rate",0.28,0.15,NA,0.59,0.25,NA,0.68,0.35,NA,1.28,0.39,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,1.65611958664142,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES004",0.531199585645052,0.0417178050641253,"hybSL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_rubens","Gryllus_texensis","Gryllus_rubens_Gryllus_texensis","Yes","sound","Trill rate",0.28,0.15,NA,0.59,0.25,NA,0.68,0.35,NA,1.28,0.39,NA,NA,NA,"12","12","12","12",NA,NA,73,22,28,44,NA,NA,NA,NA,1.65611958664142,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"76.5","69.099999999999994","52.4","43.8",0.138713288352936,-0.137934851093691,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES004",0.559630846184677,0.0246135928671147,"spL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound","Trill duty cycle",0.62,0.11,NA,0.73,0.14,NA,0.71,0.1,NA,0.78,0.1,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.331214278781757,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES005",0.414295696236488,0.0270016885226479,"hybLS"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound","Trill duty cycle",0.62,0.11,NA,0.73,0.14,NA,0.71,0.1,NA,0.78,0.1,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.331214278781757,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES005",0.110894029013355,0.0318808235339857,"hybSL"
"s001","Blankers.et.al_2015","table1","Gryllus_rubens_Gryllus_texensis","Gryllus","Gryllus_texensis","Gryllus_rubens","Gryllus_rubens_Gryllus_texensis","Yes","sound","Trill duty cycle",0.62,0.11,NA,0.73,0.14,NA,0.71,0.1,NA,0.78,0.1,NA,NA,NA,"12","12","12","12",NA,NA,44,28,22,73,NA,NA,NA,NA,-0.331214278781757,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",-2.04575749056068,"43.8","52.4","69.099999999999994","76.5",-0.137934851093691,0.138713288352936,"Cade_1989_Gryllus.mortality","table1",NA,"integer‚Ítexensis",NA,"ES005",0.329568083981125,0.0195129103318135,"spL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityA","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","EI",14.96,3.09586821424944,NA,12.5,1.89736659610103,NA,11.6,2.32163735324878,NA,9.18888888888889,1.58636162645109,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,12,9,NA,NA,NA,NA,0.0658832052858886,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES006",-0.107876472406143,0.152436346716766,"hybLS"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityA","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","EI",14.96,3.09586821424944,NA,12.5,1.89736659610103,NA,11.6,2.32163735324878,NA,9.18888888888889,1.58636162645109,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,12,9,NA,NA,NA,NA,0.0658832052858886,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES006",0.130774055640425,0.114604170298257,"hybSL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityA","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","EI",14.96,3.09586821424944,NA,12.5,1.89736659610103,NA,11.6,2.32163735324878,NA,9.18888888888889,1.58636162645109,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,12,9,NA,NA,NA,NA,0.0658832052858886,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES006",0.174295887211574,0.125649683477171,"spL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityB","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","EI",10.788,2.47035544001263,NA,11.74,2.94998305079877,NA,12.7666666666667,1.74610678049451,NA,14.96,3.09586821424944,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,10,3,10,NA,NA,NA,NA,-0.181236570057167,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES007",0.194109194625058,0.121707629070462,"hybLS"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityB","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","EI",10.788,2.47035544001263,NA,11.74,2.94998305079877,NA,12.7666666666667,1.74610678049451,NA,14.96,3.09586821424944,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,10,3,10,NA,NA,NA,NA,-0.181236570057167,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES007",-0.219692966131587,0.316073512818012,"hybSL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityB","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","EI",10.788,2.47035544001263,NA,11.74,2.94998305079877,NA,12.7666666666667,1.74610678049451,NA,14.96,3.09586821424944,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,10,3,10,NA,NA,NA,NA,-0.181236570057167,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES007",0.0665169998080082,0.0827689080251597,"spL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityA","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","SI",15.1375,11.2491874706576,NA,0.5,NA,NA,9.7,6.22825216252521,NA,11.875,6.64473475768597,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,6,NA,NA,NA,NA,-0.310936151023388,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES008",0.0931359863484791,0.248967170017338,"hybSL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityA","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","SI",15.1375,11.2491874706576,NA,0.5,NA,NA,9.7,6.22825216252521,NA,11.875,6.64473475768597,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,10,6,NA,NA,NA,NA,-0.310936151023388,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES008",0.255159938387526,0.29264348029572,"spL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityB","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","SI",11.4291666666667,11.0768872658342,NA,6.93055555555555,5.62480589514204,NA,10.425,10.2530483272049,NA,15.1375,11.2491874706576,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,9,3,8,NA,NA,NA,NA,-0.251995019383183,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES009",0.0791970994683031,0.27614697262027,"hybLS"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityB","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","SI",11.4291666666667,11.0768872658342,NA,6.93055555555555,5.62480589514204,NA,10.425,10.2530483272049,NA,15.1375,11.2491874706576,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,9,3,8,NA,NA,NA,NA,-0.251995019383183,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES009",0.458818927700671,0.712887455769463,"hybSL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityB","Chorthippus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","SI",11.4291666666667,11.0768872658342,NA,6.93055555555555,5.62480589514204,NA,10.425,10.2530483272049,NA,15.1375,11.2491874706576,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,9,3,8,NA,NA,NA,NA,-0.251995019383183,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES009",0.215881908241866,0.201336359011219,"spL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityA","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","ES",31.6666666666667,26.6666666666667,NA,60.7142857142857,12.9362644830535,NA,43.6666666666667,18.5711843695788,NA,59.4444444444444,25.434495871688,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,15,9,NA,NA,NA,NA,0.28520611611959,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES010",-0.676375307223469,0.172660168523831,"hybLS"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityA","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","ES",31.6666666666667,26.6666666666667,NA,60.7142857142857,12.9362644830535,NA,43.6666666666667,18.5711843695788,NA,59.4444444444444,25.434495871688,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,15,9,NA,NA,NA,NA,0.28520611611959,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES010",-0.0328237850938746,0.130614052566333,"hybSL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityA","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","ES",31.6666666666667,26.6666666666667,NA,60.7142857142857,12.9362644830535,NA,43.6666666666667,18.5711843695788,NA,59.4444444444444,25.434495871688,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,7,15,9,NA,NA,NA,NA,0.28520611611959,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES010",0.670141110370335,0.209311100473386,"spL"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityB","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","ES",31.6666666666667,26.6666666666667,NA,31.6666666666667,9.42809041582063,NA,52.2727272727273,18.1363066756909,NA,44.1666666666667,25.3174292182722,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,11,10,NA,NA,NA,NA,-0.172364334308747,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES011",-0.460649287021438,0.367961777214141,"hybLS"
"s002","Butlin&Hewitt_1988","Fig1","parallelus_localityB","Chorthippus","Chorthippus_parallelus_erythropus","Chorthippus_parallelus_parallelus","Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus","Yes","sound","ES",31.6666666666667,26.6666666666667,NA,31.6666666666667,9.42809041582063,NA,52.2727272727273,18.1363066756909,NA,44.1666666666667,25.3174292182722,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,11,10,NA,NA,NA,NA,-0.172364334308747,"Viable","Overlap","original study","Orthoptera","Castillo Elio Rodrigo Dardo Andrea Marti and Claudio Juan Bidau. Sex and neo-sex chromosomes in Orthoptera: a review. Journal of Orthoptera Research (2010): 213-231.","X0","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ES011",-0.507637204415947,0.149357685196667,"hybSL"
