Study.ID,Study.name,Source,Cross.ID,Genus,sp1.name,sp2.name,species.pair,homologous,trait.type,trait,Mn.sp1,SD.sp1,SE.sp1,Mn.hyb12,SD.hyb12,SE.hyb12,Mn.hyb21,SD.hyb21,SE.hyb21,Mn.sp2,SD.sp2,SE.sp2,Parents.sp1F.sp1,Parents.sp1M.sp1,Parents.sp1F.hyb12,Parents.sp1M.hyb21,Parents.sp2F.hyb21,Parents.sp2M.hyb12,Parents.sp2F.sp2,Parents.sp2M.sp2,N.sp1,N.hyb12,N.hyb21,N.sp2,reps.sp1,reps.hyb12,reps.hyb21,reps.sp2
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,COH,4.98,5.933767774,,7.857142857,6.975540357,,6.428571429,5.035081014,,2.5,3.908033684,,,,,,,,,,25,14,14,11,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,COH,4.98,5.933767774,,3.5,4.898979486,,10.19230769,8.605763859,,3.766666667,4.611097724,,,,,,,,,,25,8,13,30,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,COD,60.46153846,13.81535035,,51.6,7.2,,58.28571429,17.91818139,,44.4,11.75755077,,,,,,,,,,13,10,14,5,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,COD,60.46153846,13.81535035,,66,9.797958971,,55.09090909,11.95031035,,43.5,14.62019152,,,,,,,,,,13,3,11,16,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,EL,3.04,0.498397432,,3.185714286,0.451753951,,2.807692308,0.426905752,,2.225,0.263391344,,,,,,,,,,10,7,13,8,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,EL,3.04,0.498397432,,2.633333333,0.188561808,,2.918181818,0.324228264,,2.141666667,0.562669727,,,,,,,,,,10,3,11,24,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,NS,13.9,2.615339366,,15.66666667,2.034425936,,13.88461538,1.642627423,,12,1.5,,,,,,,,,,10,6,13,10,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,NS,13.9,2.615339366,,12.16666667,0.471404521,,13.68181818,1.19226155,,12.7,2.481934729,,,,,,,,,,10,3,11,25,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,SL,0.227,0.012489996,,0.212142857,0.017496355,,0.206538462,0.027413123,,0.19875,0.026427968,,,,,,,,,,10,7,13,8,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,SL,0.227,0.012489996,,0.218333333,0.020548047,,0.216818182,0.022489667,,0.175,0.028437575,,,,,,,,,,10,3,11,23,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,COR,3.5,3.273,,3.318181818,3.129894305,,3.25,3.074110951,,2.5,2.40743672,,,,,,,,,,14,11,12,4,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,sound,COR,3.5,3.273,,3,2.826246529,,2.5,2.36147318,,1.633333333,1.497428351,,,,,,,,,,14,2,11,15,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,morphology,RL,4.014285714,0.279941685,,3.754545455,0.172487872,,3.742857143,0.154523626,,3.557142857,0.349927106,,,,,,,,,,21,11,14,7,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,morphology,RL,4.014285714,0.279941685,,3.911111111,0.194047213,,3.7,0.244948974,,3.448148148,0.22831163,,,,,,,,,,21,18,16,27,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,morphology,NP,146.4285714,14.23801561,,133.3333333,10.67187373,,119.2857143,9.035079029,,112.1428571,10.30157507,,,,,,,,,,21,12,14,27,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,morphology,NP,146.4285714,14.23801561,,126.5,9.630680142,,106.25,17.98436821,,94.25925926,11.19719738,,,,,,,,,,21,20,16,7,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityA,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,morphology,PD,36.52941176,3.10819878,,34.33333333,2.108185107,,31.36363636,2.226808857,,30.2,3.919183588,,,,,,,,,,17,9,11,5,,,,
s002,Butlin&Hewitt_1988,Fig1,parallelus_localityB,Chorthippus,Chorthippus_parallelus_erythropus,Chorthippus_parallelus_parallelus,Chorthippus_parallelus_erythropus_Chorthippus_parallelus_parallelus,Yes,morphology,PD,36.52941176,3.10819878,,32.52941176,2.117647059,,29.33333333,3.543381938,,27.22222222,1.872477727,,,,,,,,,,17,17,12,18,,,,
s003,Carson.et.al_1994,table4,Drosophila_heteroneura_Drosophila_silvestris,Drosophila,Drosophila_heteroneura,Drosophila_silvestris,Drosophila_heteroneura_Drosophila_silvestris,Yes,morphology,Number of tibial cilia on male foreleg,37.25,1.65,,45.15,2.76,,59.57,3.67,,72.85,6.33,,35,35,35,35,35,35,35,35,20,20,20,20,,,,
s004,Coyne_1983,table1,XsimYmel,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,GA,NA,NA,NA,7651,,118,NA,NA,NA,11501,,130,3,3,20,20,20,20,3,3,,,,,,,,
s004,Coyne_1983,table1,XsimYmel,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,WL,NA,NA,NA,1437,,6,NA,NA,NA,1223,,3,3,3,20,20,20,20,3,3,,,,,,,,
s004,Coyne_1983,table1,XsimYmel,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,GA/WL,NA,NA,NA,5.325,,0.079,NA,NA,NA,9.403,,0.098,3,3,20,20,20,20,3,3,,,,,,,,
s004,Coyne_1983,table1,v,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,GA,NA,NA,NA,5186,,52,NA,NA,NA,11501,650,130,3,3,20,20,20,20,3,3,,30,30,25,,,,
s004,Coyne_1983,table1,v,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,WL,NA,NA,NA,1246,,6,NA,NA,NA,1223,15,3,3,3,20,20,20,20,3,3,,30,30,25,,,,
s004,Coyne_1983,table1,v,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,GA/WL,NA,NA,NA,4.163,,0.053,NA,NA,NA,9.403,0.49,0.098,3,3,20,20,20,20,3,3,,30,30,25,,,,
s004,Coyne_1983,table1,Basc,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,GA,NA,NA,NA,5053,,83,NA,NA,NA,11501,650,130,3,3,20,20,20,20,3,3,,30,30,25,,,,
s004,Coyne_1983,table1,Basc,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,WL,NA,NA,NA,1264,,7,NA,NA,NA,1223,15,3,3,3,20,20,20,20,3,3,,30,30,25,,,,
s004,Coyne_1983,table1,Basc,Drosophila,Drosophila_melanogaster,Drosophila_simulans,Drosophila_melanogaster_Drosophila_simulans,No,morphology,GA/WL,NA,NA,NA,3.996,,0.061,NA,NA,NA,9.403,0.49,0.098,3,3,20,20,20,20,3,3,,30,30,25,,,,
s004,Coyne_1983,table3,BGxMutant,Drosophila,Drosophila_mauritiana,Drosophila_simulans,Drosophila_mauritiana_Drosophila_simulans,Yes,morphology,GA,1442,202.6573463,37,NA,NA,NA,5141,506.666557,91,12166,735,147,3,3,20,20,20,20,3,3,30,0,31,25,,,,
s004,Coyne_1983,table3,BGxMutant,Drosophila,Drosophila_mauritiana,Drosophila_simulans,Drosophila_mauritiana_Drosophila_simulans,Yes,morphology,WL,462,10.95445115,2,NA,NA,NA,487,11.13552873,2,477,10,2,3,3,20,20,20,20,3,3,30,0,31,25,,,,
s004,Coyne_1983,table3,BGxMutant,Drosophila,Drosophila_mauritiana,Drosophila_simulans,Drosophila_mauritiana_Drosophila_simulans,Yes,morphology,GA/WL,3.12,0.438178046,0.08,NA,NA,NA,10.58,2.060072814,0.37,25.49,1.5,0.3,3,3,20,20,20,20,3,3,30,0,31,25,,,,
s004,Coyne_1983,table3,BGxSPD(wildtype),Drosophila,Drosophila_mauritiana,Drosophila_simulans,Drosophila_mauritiana_Drosophila_simulans,Yes,morphology,GA,1442,202.6573463,37,5139,471.0413995,86,5400,651.7898434,119,12050,1007.809506,184,3,3,20,20,20,20,3,3,30,30,30,30,,,,
s004,Coyne_1983,table3,BGxSPD(wildtype),Drosophila,Drosophila_mauritiana,Drosophila_simulans,Drosophila_mauritiana_Drosophila_simulans,Yes,morphology,WL,462,10.95445115,2,497,10.95445115,2,487,10.95445115,2,1263,27.38612788,5,3,3,20,20,20,20,3,3,30,30,30,30,,,,
s004,Coyne_1983,table3,BGxSPD(wildtype),Drosophila,Drosophila_mauritiana,Drosophila_simulans,Drosophila_mauritiana_Drosophila_simulans,Yes,morphology,GA/WL,3.12,0.438178046,0.08,10.35,0.985900604,0.18,11.09,1.259761882,0.23,9.538,0.755857129,0.138,3,3,20,20,20,20,3,3,30,30,30,30,,,,
s005,Coyne_1985,table1&2,BGxOxnard,Drosophila,Drosophila_mauritiana,Drosophila_simulans,Drosophila_mauritiana_Drosophila_simulans,Yes,morphology,Sex comb tooth number,14.31,1.13137085,0.08,12.33,1.014889157,0.1,12.1,0.989949494,0.07,9.86,0.848528137,0.06,NA,NA,NA,NA,NA,NA,NA,NA,200,103,200,200,,,,
s006,Coyne_1986,table1,FC,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,6T,176,44.54772721,10.5,NA,NA,NA,142,36.91097398,8.7,15.7,2.615339366,0.6,,,NA,NA,8,8,,,18,NA,18,19,,,,
s006,Coyne_1986,table1,FC,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,7T,49.3,12.30365799,2.9,NA,NA,NA,393.9,97.5807358,23,335.2,61.02458521,14,,,NA,NA,8,8,,,18,NA,18,19,,,,
s006,Coyne_1986,table1,FC,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,6Tratio,0.779,0.016970563,0.004,NA,NA,NA,0.264,0.016970563,0.004,0.049,0.030512293,0.007,,,NA,NA,8,8,,,18,NA,18,19,,,,
s006,Coyne_1986,table1,f^2,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,6T,176,44.54772721,10.5,NA,NA,NA,142.7,11.13238519,2.7,17.9,6.184658438,1.5,,,NA,NA,8,8,,,18,NA,17,17,,,,
s006,Coyne_1986,table1,f^2,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,7T,49.3,12.30365799,2.9,NA,NA,NA,459,53.60037313,13,424.2,78.33900689,19,,,NA,NA,8,8,,,18,NA,17,17,,,,
s006,Coyne_1986,table1,f^2,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,6Tratio,0.779,0.016970563,0.004,NA,NA,NA,0.238,0.016492423,0.004,0.04,0.012369317,0.003,,,NA,NA,8,8,,,18,NA,17,17,,,,
s006,Coyne_1986,table1,RMdet,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,6T,176,44.54772721,10.5,NA,NA,NA,142.8,35,7,26.9,10.0697567,2.6,,,NA,NA,8,8,,,18,NA,25,15,,,,
s006,Coyne_1986,table1,RMdet,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,7T,49.3,12.30365799,2.9,NA,NA,NA,385.2,67.5,13.5,541.9,199.071344,51.4,,,NA,NA,8,8,,,18,NA,25,15,,,,
s006,Coyne_1986,table1,RMdet,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,6Tratio,0.779,0.016970563,0.004,NA,NA,NA,0.269,0.035,0.007,0.048,0.003485685,0.0009,,,NA,NA,8,8,,,18,NA,25,15,,,,
s006,Coyne_1986,table1,RM,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,6T,176,44.54772721,10.5,NA,NA,NA,184.2,50,10,25,5.422176685,1.4,,,NA,NA,8,8,,,18,NA,25,15,,,,
s006,Coyne_1986,table1,RM,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,7T,49.3,12.30365799,2.9,NA,NA,NA,381.7,73,14.6,612.6,115.4149037,29.8,,,NA,NA,8,8,,,18,NA,25,15,,,,
s006,Coyne_1986,table1,RM,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,Yes,morphology,6Tratio,0.779,0.016970563,0.004,NA,NA,NA,0.322,0.04,0.008,0.039,0.00232379,0.0006,,,NA,NA,8,8,,,18,NA,25,15,,,,
s007,Coyne&Kreitman_1986,"table5.for pure strain, ",Oxnard,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,No,morphology,GA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,,,NA,NA,,,,,,NA,36,36,,,,
s007,Coyne&Kreitman_1986,"table5.for pure strain, ",Oxnard,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,No,morphology,WL,NA,NA,NA,NA,NA,NA,,,NA,,,NA,,,NA,NA,,,,,,NA,36,36,,,,
s007,Coyne&Kreitman_1986,"table5.for pure strain, ",Oxnard,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,No,morphology,GA/WL,NA,NA,NA,NA,NA,NA,,,NA,,,NA,,,NA,NA,,,,,,NA,36,36,,,,
s007,Coyne&Kreitman_1986,"table5.for pure strain, ",XXY,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,No,morphology,GA,NA,NA,NA,NA,NA,NA,,,NA,,,NA,,,NA,NA,,,,,,NA,36,36,,,,
s007,Coyne&Kreitman_1986,"table5.for pure strain, ",XXY,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,No,morphology,WL,NA,NA,NA,NA,NA,NA,,,NA,,,NA,,,NA,NA,,,,,,NA,36,36,,,,
s007,Coyne&Kreitman_1986,"table5.for pure strain, ",XXY,Drosophila,Drosophila_sechellia,Drosophila_simulans,Drosophila_sechellia_Drosophila_simulans,No,morphology,GA/WL,NA,NA,NA,NA,NA,NA,,,NA,,,NA,,,NA,NA,,,,,,NA,36,36,,,,
s008,Coyne.et.al_1991,table4,pn_j_irX85,Drosophila,Drosophila_mauritiana,Drosophila_sechellia,Drosophila_mauritiana_Drosophila_sechellia,Yes,morphology,Genital area,1.746,0.21,0.035,3.323,0.450124427,0.074,3.104,0.371048514,0.061,5.311,0.523117578,0.086,,,,,,,,,36,37,37,37,,,,
s008,Coyne.et.al_1991,table4,pn_j_irX85,Drosophila,Drosophila_mauritiana,Drosophila_sechellia,Drosophila_mauritiana_Drosophila_sechellia,Yes,morphology,Tibia length,0.441,0.012,0.002,0.474,0.012165525,0.002,0.487,0.018248288,0.003,0.469,0.018248288,0.003,,,,,,,,,36,37,37,37,,,,
s009,Crapon&Fritzsch_1984,table4,Haplochromis_burtoni_Haplochromis_nubilus,Haplochromis,Haplochromis_burtoni,Haplochromis_nubilus,Haplochromis_burtoni_Haplochromis_nubilus,Yes,morphology,egg dummy size,8.9,0.7,,10,1.6,,NA,NA,NA,8.3,0.8,,,,,,,,,,48,34,NA,58,,,,
s009,Crapon&Fritzsch_1984,table4,Haplochromis_burtoni_Haplochromis_nubilus,Haplochromis,Haplochromis_burtoni,Haplochromis_nubilus,Haplochromis_burtoni_Haplochromis_nubilus,Yes,morphology,egg dummy number,6.7,1.8,,4.3,1,,NA,NA,NA,2.5,0.6,,,,,,,,,,48,34,NA,58,,,,
s009,Crapon&Fritzsch_1984,table4,Haplochromis_burtoni_Haplochromis_nubilus,Haplochromis,Haplochromis_burtoni,Haplochromis_nubilus,Haplochromis_burtoni_Haplochromis_nubilus,Yes,morphology,egg dummy position,1.4,0.6,,3.9,1.2,,NA,NA,NA,5.4,0.6,,,,,,,,,,48,34,NA,58,,,,
s010,Derégnaucourt_2010,table2,Coturnix_coturnix_coturnix_Coturnix_japonica,Coturnix,Coturnix_coturnix_coturnix,Coturnix_japonica,Coturnix_coturnix_coturnix_Coturnix_japonica,Uncertain,sound,S1,383,122.3764683,24,161,43.08131846,8,193,103.406963,17,63,95.2470472,18,NA,NA,8,8,15,15,NA,NA,26,29,37,28,,,,
s010,Derégnaucourt_2010,table2,Coturnix_coturnix_coturnix_Coturnix_japonica,Coturnix,Coturnix_coturnix_coturnix,Coturnix_japonica,Coturnix_coturnix_coturnix_Coturnix_japonica,No,sound,S2,NA,NA,NA,168,59.23681288,11,182,54.74486277,9,59,79.37253933,15,NA,NA,8,8,15,15,NA,NA,26,29,37,28,,,,
s010,Derégnaucourt_2010,table2,Coturnix_coturnix_coturnix_Coturnix_japonica,Coturnix,Coturnix_coturnix_coturnix,Coturnix_japonica,Coturnix_coturnix_coturnix_Coturnix_japonica,No,sound,S3,NA,NA,NA,180,113.0884609,21,182,48.66210024,8,328,105.8300524,20,NA,NA,8,8,15,15,NA,NA,26,29,37,28,,,,
s010,Derégnaucourt_2010,table2,Coturnix_coturnix_coturnix_Coturnix_japonica,Coturnix,Coturnix_coturnix_coturnix,Coturnix_japonica,Coturnix_coturnix_coturnix_Coturnix_japonica,Uncertain,sound,TD,383,122.3764683,24,507,64.62197769,12,503,91.24143795,15,626,74.08103671,14,NA,NA,8,8,15,15,NA,NA,26,29,37,28,,,,
s010,Derégnaucourt_2010,table2,Coturnix_coturnix_coturnix_Coturnix_japonica,Coturnix,Coturnix_coturnix_coturnix,Coturnix_japonica,Coturnix_coturnix_coturnix_Coturnix_japonica,Uncertain,sound,T12,203,76.4852927,15,177,53.85164807,10,191,54.74486277,9,163,84.66404195,16,NA,NA,8,8,15,15,NA,NA,26,29,37,28,,,,
s010,Derégnaucourt_2010,table2,Coturnix_coturnix_coturnix_Coturnix_japonica,Coturnix,Coturnix_coturnix_coturnix,Coturnix_japonica,Coturnix_coturnix_coturnix_Coturnix_japonica,Uncertain,sound,T23,138,112.1784293,22,175,43.08131846,8,166,66.91038783,11,171,68.78953409,13,NA,NA,8,8,15,15,NA,NA,26,29,37,28,,,,
